หลักทรัพย์,ชื่อผู้ได้มา/จำหน่าย,วิธีการ,ประเภท หลักทรัพย์ 1,% ก่อน ได้มา/ จำหน่าย,% ได้มา/ จำหน่าย,% หลัง ได้มา/ จำหน่าย,วันที่ได้มา/ จำหน่าย,% ก่อน ได้มา/ จำหน่าย (กลุ่ม)2,% ได้มา/ จำหน่าย (กลุ่ม)2,% หลัง ได้มา/ จำหน่าย (กลุ่ม)2,หมายเหตุ3,PDF,หมายเลข
TATG,คุณ บัณฑูร เหล่าสินชัย,ได้มา,หุ้น,2.325,0.5,2.825,07/07/2569,4.65,0.5,5.15,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4dc8f71f51c254c7ade401,246042702607-1
TACC,นาย ชัชชวี วัฒนสุข,จำหน่าย,หุ้น,15.0383,0.0745,14.9637,06/07/2569,15.0383,0.0745,14.9637,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4e07111f51c254c7ade402,246042712607-1
TRUE,บริษัท เครือเจริญโภคภัณฑ์ จำกัด,จำหน่าย,หุ้น,7.8663,1.2734,6.5928,06/07/2569,22.3067,2.5853,19.7214,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4b78a71f51c254c7ade3ee,246042662607-1
TRUE,บริษัท ซีพีเอช เทลโค จำกัด,จำหน่าย,หุ้น,9.1583,1.3119,7.8463,06/07/2569,22.3067,2.5853,19.7214,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4b7bde1f51c254c7ade3ef,246042672607-1
KTC,นาย มงคล ประกิตชัยวัฒนา,จำหน่าย,หุ้น,5.0148,0.7756,4.2391,03/07/2569,5.0148,0.7756,4.2391,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4dc7fc1f51c254c7ade400,246042692607-1
TMD,นาย ยงยุทธ จรัญวาศน์,จำหน่าย,หุ้น,9.1133,9.1133,0.0,03/07/2569,9.1133,9.1133,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4b0c851f51c254c7ade3e0,246042642607-1
TMD,นาย สุภกฤต โช,ได้มา,หุ้น,0.0,9.1133,9.1133,03/07/2569,0.0,9.1133,9.1133,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a47a07740002b757d3c8374,246042632607-1
ITEL,บริษัท อินเตอร์ลิ้งค์ คอมมิวนิเคชั่น จำกัด (มหาชน),ได้มา,หลักทรัพย์แปลงสภาพ,33.8227,3.2716,35.9877,01/07/2569,33.8227,3.2716,35.9877,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4629ac40002b757d3c836e,246042612607-1
COM7,นาย พงศ์ศักดิ์ ธรรมธัชอารี,จำหน่าย,หุ้น,20.3487,5.0048,15.3439,30/06/2569,20.3487,5.0048,15.3439,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a45157940002b757d3c8363,246042542607-1
COM7,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),ได้มา,หุ้น,3.9445,7.2104,11.1549,30/06/2569,3.9445,7.2104,11.1549,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a43a79440002b757d3c8359,246042552607-1
ECF,นาย อรุต ธนาสุวรรณดิถี,ได้มา,หุ้น,9.5477,1.6024,11.1501,30/06/2569,9.5477,1.6024,11.1501,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a47952340002b757d3c8373,246042622607-1
OSP,กรีนวิว นอมินี ลิมิเต็ด,ได้มานิติบุคคลตามมาตรา 258,หุ้น,0.0,7.3594,7.3594,30/06/2569,7.3594,7.3594,7.3594,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4404b340002b757d3c8360,246042532607-1
OSP,คอยเล่ โฮลดิงส์,สิ้นสุดนิติบุคคลตามมาตรา 258,หุ้น,0.0,7.3594,-7.3594,30/06/2569,0.0,7.3594,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a44021040002b757d3c835f,246042522607-1
HANN,นาง ประภาศรี สุฉันทบุตร,จำหน่าย,หุ้น,27.346,3.9285,23.4174,29/06/2569,63.0603,3.9285,59.1317,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a4c6cba1f51c254c7ade3f1,246042652607-1
FPT,นาย เจริญ สิริวัฒนภักดี,สิ้นสุดนิติบุคคลตามมาตรา 258,หุ้น,0.0,0.0,0.0,24/06/2569,81.8324,0.0,81.8324,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a3bab507f39376f1afc9906,246042462606-1
XO,นางสาว วาสนา จันทรัช,ได้มา,หุ้น,14.9617,0.467,15.4287,24/06/2569,14.9617,0.467,15.4287,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a41e9c740002b757d3c834c,246042482606-1
GULF,สิงเทล โกลบอล อินเวสต์เมนท์ พีทีอี แอลทีดี,จำหน่าย,หุ้น,7.7339,2.7845,4.9494,23/06/2569,7.7339,2.7845,4.9494,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a3624167f39376f1afc9901,246042442606-1
THAI,สหกรณ์ออมทรัพย์การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย จำกัด,จำหน่าย,หุ้น,5.4344,1.3586,4.0758,18/06/2569,5.4344,1.3586,4.0758,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a336a2c7f39376f1afc9900,246042432606-1
BLC,นาย อภิรุม ปัญญาพล,ได้มา,หุ้น,4.9994,0.0122,5.0117,17/06/2569,4.9994,0.0122,5.0117,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a325b3a7f39376f1afc98fc,246042422606-1
QDC,Mr Vatcharakiatth Taechasirithiwapakdi,จำหน่าย,หุ้น,35.4127,1.7477,33.665,15/06/2569,35.4127,1.7477,33.665,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a853af6a06a7961be119e4e,246043212608-1
TRUE,บริษัท เครือเจริญโภคภัณฑ์ จำกัด,จำหน่าย,หุ้น,9.0384,1.1721,7.8663,15/06/2569,25.0128,2.706,22.3067,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a2f86957f39376f1afc98ec,246042392606-1
TRUE,บริษัท ซีพีเอช เทลโค จำกัด,จำหน่าย,หุ้น,10.6922,1.5339,9.1583,15/06/2569,25.0128,2.706,22.3067,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a2fa10e7f39376f1afc98ef,246042402606-1
DPAINT,นางสาว เพ็ญพร วงศ์นพรัตน์เลิศ,จำหน่าย,หุ้น,10.4227,10.4227,0.0,12/06/2569,10.4227,10.4227,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a30b1737f39376f1afc98f4,246042382606-1
TTB,บริษัท ไอเอ็นจี แบงก์ เอ็น.วี. จำกัด,จำหน่าย,หุ้น,23.0996,4.4635,18.6361,12/06/2569,23.0996,4.4635,18.6361,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a2bddc77f39376f1afc98e9,246042352606-1
META,นายกองตรี สุวิทย์ พิพัฒน์วิไลกุล,ได้มา,หุ้น,4.2352,1.5991,5.8343,11/06/2569,4.2352,1.5991,5.8343,ฉบับแก้ไข,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a8fd8753b0bc43579425115,246043542608-2
EMPIRE,นาย วโรตม์ หน่อแก้ว,จำหน่าย,หุ้น,7.2759,3.8949,3.3809,10/06/2569,7.2759,3.8949,3.3809,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a30119e7f39376f1afc98f3,246042372606-1
XO,นาย จิตติพร จันทรัช,ได้มา,หุ้น,9.4541,0.9049,10.3591,10/06/2569,9.6876,0.9049,10.5926,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a293a9b7f39376f1afc98dc,246042302606-1
MATI,นาย ปราปต์ บุนปาน,ได้มา,หุ้น,7.0046,3.5068,10.5115,09/06/2569,7.0046,3.5068,10.5115,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a2906d27f39376f1afc98d6,246042272606-1
PSTC,โสมพัฒน์ ไตรโสรัส,จำหน่าย,หุ้น,17.9876,17.9876,0.0,09/06/2569,17.9876,17.9876,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a27e5c97f39376f1afc98d0,246042242606-1
PSTC,นาย ศิโรตม์ เสตะพันธุ,ได้มา,หุ้น,0.0,17.9876,17.9876,09/06/2569,0.0,17.9876,17.9876,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a280c3d7f39376f1afc98d4,246042262606-1
MVP,นาย สุระ คณิตทวีกุล,จำหน่าย,หุ้น,5.3074,0.3632,4.9442,08/06/2569,5.3074,0.3632,4.9442,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a2a2a0b7f39376f1afc98df,246042322606-1
ECF,นาย ณัฐปภัสร์ เกสร์ชัยมงคล,ได้มา,หุ้น,14.1765,1.2778,15.4543,05/06/2569,14.1765,1.2778,15.4543,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a30e8747f39376f1afc98f6,246042412606-1
ASN,นาง จารุทรรศ เลิศรุ่งเรือง,จำหน่าย,หุ้น,15.3838,15.3838,0.0,04/06/2569,15.3838,15.3838,0.0,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a228c1d7f39376f1afc98c9,246042212606-1
ASN,นางสาว พัชรา เลิศรุ่งเรือง,ได้มา,หุ้น,0.4563,15.3838,15.8401,04/06/2569,0.4563,15.3838,15.8401,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a226ec27f39376f1afc98c1,246042202606-1
EMPIRE,นาย วโรตม์ หน่อแก้ว,จำหน่าย,หุ้น,10.4519,1.7297,8.7221,04/06/2569,10.4519,1.7297,8.7221,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a280bc27f39376f1afc98d3,246042252606-1
STELLA,บริษัท ธนา พาวเวอร์ โฮลดิ้ง จำกัด,ได้มา,หุ้น,19.9783,0.0229,20.0012,04/06/2569,19.9783,0.0229,20.0012,,https://web-r246-api.sec.or.th/api/forms/pdf/publish/6a22454d7f39376f1afc98bf,246042182606-1
